Broj izvještaja,Broj naloga,Datum izdavanja,Status verifikacije,Zahtjev za verifikaciju,Metoda,Vrsta,Proizvođač,Uređaj,Serijski broj,Verifikacija ispravna,Spoljašnji pregled 1,Spoljašnji pregled 2,Spoljašnji pregled 3,Spoljašnji pregled 4,VERIFIKACIJA GREŠKE MJERILA:,1: Zadana vrijednost [ml],1: Mjerena vrijednost [ml],1: Greška mjerenja [ % ],1: Dozvoljeno odstupanje  [ ± % ],1: Usklađeno,2: Zadana vrijednost [ml],2: Mjerena vrijednost [ml],2: Greška mjerenja [ % ],2: Dozvoljeno odstupanje  [ ± % ],2: Usklađeno,3: Zadana vrijednost [ml],3: Mjerena vrijednost [ml],3: Greška mjerenja [ % ],3: Dozvoljeno odstupanje  [ ± % ],3: Usklađeno,4: Zadana vrijednost [ml],4: Mjerena vrijednost [ml],4: Greška mjerenja [ % ],4: Dozvoljeno odstupanje  [ ± % ],4: Usklađeno,5: Zadana vrijednost [ml],5: Mjerena vrijednost [ml],5: Greška mjerenja [ % ],5: Dozvoljeno odstupanje  [ ± % ],5: Usklađeno,6: Zadana vrijednost [ml],6: Mjerena vrijednost [ml],6: Greška mjerenja [ % ],6: Dozvoljeno odstupanje  [ ± % ],6: Usklađeno,VERIFIKACIJA GREŠKE MJERILA:,19: Zadana vrijednost [%],19: Mjerena vrijednost [%],19: Greška mjerenja [ % ],19: Dozvoljeno odstupanje  [ ± % ],19: Usklađeno,20: Zadana vrijednost [%],20: Mjerena vrijednost [%],20: Greška mjerenja [ % ],20: Dozvoljeno odstupanje  [ ± % ],20: Usklađeno,21: Zadana vrijednost [%],21: Mjerena vrijednost [%],21: Greška mjerenja [ % ],21: Dozvoljeno odstupanje  [ ± % ],21: Usklađeno,22: Zadana vrijednost [%],22: Mjerena vrijednost [],22: Greška mjerenja [ % ],22: Dozvoljeno odstupanje  [ ± % ],22: Usklađeno,23: Zadana vrijednost [%],23: Mjerena vrijednost [%],23: Greška mjerenja [ % ],23: Dozvoljeno odstupanje  [ ± % ],23: Usklađeno,Napomena
15/23,15/VL/23,4.1.2023.,Završena,Narudžbenica od 04.01.2022.,Komparativna,Prva,GE - General Electric,CARESTATION 750,SQS22340004WA,DA,DA,DA,DA,DA,Volumen,100,103,3,10,DA,200,206,3,10,DA,400,401,"0,25",10,DA,600,615,"2,5",10,DA,800,778,"2,75",10,DA,1000,959,"4,1",10,DA,Koncentracija anestezioloških gasova,1,"1,06","0,06",1,DA,2,"1,82","0,18",1,DA,4,"4,05","0,05",1,DA,5,"4,95","0,05",1,DA,6,"5,7","0,3",1,DA,
85/23,85/VL/23,9.1.2023.,Završena,Narudžbenica od 09.01.2022.,Komparativna,Redovna,Datex Ohmeda,AVANCE CS 2 PRO,APKT00467,DA,DA,DA,DA,DA,Volumen,100,93,7,10,DA,200,184,8,10,DA,400,363,"9,25",10,DA,600,553,"7,83",10,DA,800,736,8,10,DA,1000,926,"7,4",10,DA,Koncentracija anestezioloških gasova,1,"1,15","0,15",1,DA,2,"1,99","0,01",1,DA,4,"3,93","0,07",1,DA,6,"6,37","0,37",1,DA,8,"7,27","0,73",1,DA,
226/23,226/VL/23,13.1.2023.,Završena,Ugovor br. 02D3108-6/22 od 06.04.2022.,Komparativna,Redovna,MAQUET,FLOW-i,5834,DA,DA,DA,DA,DA,Volumen,100,98,2,10,DA,200,183,"8,5",10,DA,400,378,"5,5",10,DA,600,549,"8,5",10,DA,800,746,"6,75",10,DA,1000,939,"6,1",10,DA,Koncentracija anestezioloških gasova,1,"0,71","0,29",1,DA,2,"1,85","0,15",1,DA,4,"4,04","0,04",1,DA,6,"5,91","0,09",1,DA,8,"7,62","0,38",1,DA,
248/23,248/VL/23,13.1.2023.,Završena,Ugovor br. 02D3108-6/22 od 06.04.2022.,Komparativna,Redovna,Datex Ohmeda,S/5 AESPIRE,AMCK0064,DA,DA,DA,DA,DA,Volumen,100,96,4,10,DA,200,203,"1,5",10,DA,400,374,"6,5",10,DA,600,552,8,10,DA,800,733,"8,38",10,DA,1000,948,"5,2",10,DA,Koncentracija anestezioloških gasova,1,"1,11","0,11",1,DA,2,"1,78","0,22",1,DA,3,"3,04","0,04",1,DA,4,"3,88","0,12",1,DA,6,"5,64","0,36",1,DA,
250/23,250/VL/23,13.1.2023.,Završena,Ugovor br. 02D3108-6/22 od 06.04.2022.,Komparativna,Redovna,Datex Ohmeda,S/5 Aespire,ANCK00866,DA,DA,DA,DA,DA,Volumen,100,93,7,10,DA,200,187,"6,5",10,DA,400,370,"7,5",10,DA,600,553,"7,83",10,DA,800,730,"8,75",10,DA,1000,910,9,10,DA,Koncentracija anestezioloških gasova,1,"0,87","0,13",1,DA,2,"1,65","0,35",1,DA,4,"3,66","0,34",1,DA,6,"5,41","0,59",1,DA,7,"6,33","0,67",1,DA,
230/23,230/VL/23,13.1.2023.,Završena,Ugovor br. 02D3108-6/22 od 06.04.2022.,Komparativna,Redovna,MAQUET,FLOW I,6049,DA,DA,DA,DA,DA,Volumen,100,107,7,10,DA,200,188,6,10,DA,400,372,7,10,DA,600,548,"8,67",10,DA,800,752,6,10,DA,1000,945,"5,5",10,DA,Koncentracija anestezioloških gasova,1,"0,94","0,06",1,DA,2,"1,64","0,36",1,DA,4,"3,58","0,42",1,DA,6,"5,89","0,11",1,DA,8,"7,69","0,31",1,DA,
238/23,238/VL/23,13.1.2023.,Završena,Ugovor br. 02D3108-6/22 od 06.04.2022.,Komparativna,Redovna,MAQUET,FLOW I,7663,DA,DA,DA,DA,DA,Volumen,100,91,9,10,DA,200,186,7,10,DA,400,370,"7,5",10,DA,600,564,6,10,DA,800,726,"9,25",10,DA,1000,912,"8,8",10,DA,Koncentracija anestezioloških gasova,1,"0,91","0,09",1,DA,2,"1,49","0,51",1,DA,4,"3,77","0,23",1,DA,6,"5,91","0,09",1,DA,8,"7,28","0,72",1,DA,
236/23,236/VL/23,13.1.2023.,Završena,Ugovor br. 02D3108-6/22 od 06.04.2022.,Komparativna,Redovna,MAQUET,FLOW,6636,DA,DA,DA,DA,DA,Volumen,100,91,9,10,DA,200,188,6,10,DA,400,380,5,10,DA,600,570,5,10,DA,800,762,"4,75",10,DA,1000,924,"7,6",10,DA,Koncentracija anestezioloških gasova,1,"0,94","0,06",1,DA,2,"1,83","0,17",1,DA,4,4,0,1,DA,6,"5,94","0,06",1,DA,7,"6,55","0,45",1,DA,
233/23,233/VL/23,13.1.2023.,Završena,Ugovor br. 02D3108-6/22 od 06.04.2022.,Komparativna,Redovna,MAQUET,FLOW,6634,DA,DA,DA,DA,DA,Volumen,100,91,9,10,DA,200,194,3,10,DA,400,368,8,10,DA,600,551,"8,17",10,DA,800,728,9,10,DA,1000,905,"9,5",10,DA,Koncentracija anestezioloških gasova,1,"0,9","0,1",1,DA,2,"1,81","0,19",1,DA,4,"3,9","0,1",1,DA,6,"5,77","0,23",1,DA,7,"6,16","0,84",1,DA,
240/23,240/VL/23,13.1.2023.,Završena,Ugovor br. 02D3108-6/22 od 06.04.2022.,Komparativna,Redovna,GE - General Electric,CARESTATION 750,SQS22340003WA,DA,DA,DA,DA,DA,Volumen,100,92,8,10,DA,200,200,0,10,DA,400,397,"0,75",10,DA,600,588,2,10,DA,800,748,"6,5",10,DA,1000,954,"4,6",10,DA,Koncentracija anestezioloških gasova,1,"1,14","0,14",1,DA,2,"2,23","0,23",1,DA,4,"4,02","0,02",1,DA,6,"6,03","0,03",1,DA,8,"7,05","0,95",1,DA,
