Broj izvještaja,Broj naloga,Datum izdavanja,Status verifikacije,Zahtjev za verifikaciju,Metoda,Vrsta,Proizvođač,Uređaj,Serijski broj,Verifikacija ispravna,Spoljašnji pregled 1,Spoljašnji pregled 2,Spoljašnji pregled 3,Spoljašnji pregled 4,VERIFIKACIJA GREŠKE MJERILA:,1: Zadana vrijednost [ml],1: Mjerena vrijednost [ml],1: Greška mjerenja [ % ],1: Dozvoljeno odstupanje  [ ± % ],1: Usklađeno,2: Zadana vrijednost [ml],2: Mjerena vrijednost [ml],2: Greška mjerenja [ % ],2: Dozvoljeno odstupanje  [ ± % ],2: Usklađeno,3: Zadana vrijednost [ml],3: Mjerena vrijednost [ml],3: Greška mjerenja [ % ],3: Dozvoljeno odstupanje  [ ± % ],3: Usklađeno,4: Zadana vrijednost [ml],4: Mjerena vrijednost [ml],4: Greška mjerenja [ % ],4: Dozvoljeno odstupanje  [ ± % ],4: Usklađeno,5: Zadana vrijednost [ml],5: Mjerena vrijednost [ml],5: Greška mjerenja [ % ],5: Dozvoljeno odstupanje  [ ± % ],5: Usklađeno,6: Zadana vrijednost [ml],6: Mjerena vrijednost [ml],6: Greška mjerenja [ % ],6: Dozvoljeno odstupanje  [ ± % ],6: Usklađeno,VERIFIKACIJA GREŠKE MJERILA:,7: Zadana vrijednost [mbar],7: Mjerena vrijednost [mbar],7: Greška mjerenja [ % ],7: Dozvoljeno odstupanje  [ ± % ],7: Usklađeno,8: Zadana vrijednost [mbar],8: Mjerena vrijednost [mbar],8: Greška mjerenja [ % ],8: Dozvoljeno odstupanje  [ ± % ],8: Usklađeno,9: Zadana vrijednost [mbar],9: Mjerena vrijednost [mbar],9: Greška mjerenja [ % ],9: Dozvoljeno odstupanje  [ ± % ],9: Usklađeno,10: Zadana vrijednost [mbar],10: Mjerena vrijednost [mbar],10: Greška mjerenja [ % ],10: Dozvoljeno odstupanje  [ ± % ],10: Usklađeno,11: Zadana vrijednost [mbar],11: Mjerena vrijednost [mbar],11: Greška mjerenja [ % ],11: Dozvoljeno odstupanje  [ ± % ],11: Usklađeno,12: Zadana vrijednost [mbar],12: Mjerena vrijednost [mbar],12: Greška mjerenja [ % ],12: Dozvoljeno odstupanje  [ ± % ],12: Usklađeno,Napomena
41/24,41/VL/24,9.1.2024.,Završena,Narudzbenica br. 574/23 od 20.11.2023.,Komparativna,Redovna,DRAGER,SAVINA 300,ASNN-0529,DA,DA,DA,DA,DA,Volumen,100,94,6,10,DA,200,194,3,10,DA,400,367,"8,25",10,DA,600,569,"5,17",10,DA,800,781,"2,38",10,DA,1000,938,"6,2",10,DA,Pritisak,200,0,0,10,DA,300,0,0,10,DA,400,0,0,10,DA,500,0,0,10,DA,700,0,0,10,DA,900,0,0,10,DA,
45/24,45/VL/24,9.1.2024.,Završena,Narudzbenica br. 574/23 od 20.11.2023.,Komparativna,Redovna,MAQUET,SERVO-i,95354,DA,DA,DA,DA,DA,Volumen,100,97,3,10,DA,200,188,6,10,DA,400,373,"6,75",10,DA,600,569,"5,17",10,DA,800,783,"2,13",10,DA,1000,951,"4,9",10,DA,Pritisak,200,0,0,10,DA,300,0,0,10,DA,400,0,0,10,DA,500,0,0,10,DA,700,0,0,10,DA,900,0,0,10,DA,
44/24,44/VL/24,9.1.2024.,Završena,Narudzbenica br. 574/23 od 20.11.2023.,Komparativna,Redovna,MINDRAY,SYNOVENT E5,EE-05005357,DA,DA,DA,DA,DA,Volumen,100,96,4,10,DA,200,188,6,10,DA,400,390,"2,5",10,DA,600,579,"3,5",10,DA,800,765,"4,38",10,DA,1000,964,"3,6",10,DA,Pritisak,200,0,0,10,DA,300,0,0,10,DA,400,0,0,10,DA,500,0,0,10,DA,700,0,0,10,DA,900,0,0,10,DA,
43/24,43/VL/24,9.1.2024.,Završena,Narudzbenica br. 574/23 od 20.11.2023.,Komparativna,Redovna,MINDRAY,SV300,GB-07024615,DA,DA,DA,DA,DA,Volumen,100,92,8,10,DA,200,187,"6,5",10,DA,400,390,"2,5",10,DA,600,576,4,10,DA,800,781,"2,38",10,DA,1000,952,"4,8",10,DA,Pritisak,200,0,0,10,DA,300,0,0,10,DA,400,0,0,10,DA,500,0,0,10,DA,700,0,0,10,DA,900,0,0,10,DA,
42/24,42/VL/24,9.1.2024.,Završena,Narudzbenica br. 574/23 od 20.11.2023.,Komparativna,Redovna,MAQUET,SERVO,85359,DA,DA,DA,DA,DA,Volumen,100,95,5,10,DA,200,194,3,10,DA,400,388,3,10,DA,600,573,"4,5",10,DA,800,787,"1,63",10,DA,1000,946,"5,4",10,DA,Pritisak,200,0,0,10,DA,300,0,0,10,DA,400,0,0,10,DA,500,0,0,10,DA,700,0,0,10,DA,900,0,0,10,DA,
698/24,698/VL/24,11.3.2024.,Završena,Narudzbenica br. 574/23 od 20.11.2023.,Komparativna,Redovna,DRAGER,EVITA INIFINITY V500,ASPK-0267,DA,DA,DA,DA,DA,Volumen,100,97,3,10,DA,200,193,"3,5",10,DA,400,388,3,10,DA,600,583,"2,83",10,DA,800,778,"2,75",10,DA,1000,962,"3,8",10,DA,Pritisak,200,0,0,10,DA,300,0,0,10,DA,400,0,0,10,DA,500,0,0,10,DA,700,0,0,10,DA,900,0,0,10,DA,
710/24,710/VL/24,11.3.2024.,Završena,Narudzbenica br. 574/23 od 20.11.2023.,Komparativna,Redovna,DRAGER,EVITA 4,ARZC-0170,DA,DA,DA,DA,DA,Volumen,100,97,3,10,DA,200,191,"4,5",10,DA,400,374,"6,5",10,DA,600,580,"3,33",10,DA,800,781,"2,38",10,DA,1000,924,"7,6",10,DA,Pritisak,200,0,0,10,DA,300,0,0,10,DA,400,0,0,10,DA,500,0,0,10,DA,700,0,0,10,DA,900,0,0,10,DA,
711/24,711/VL/24,11.3.2024.,Završena,Narudzbenica br. 574/23 od 20.11.2023.,Komparativna,Redovna,DRAGER,Evita 4,ARZC-0171,DA,DA,DA,DA,DA,Volumen,100,94,6,10,DA,200,195,"2,5",10,DA,400,386,"3,5",10,DA,600,597,"0,5",10,DA,800,741,"7,38",10,DA,1000,918,"8,2",10,DA,Pritisak,200,0,0,10,DA,300,0,0,10,DA,400,0,0,10,DA,500,0,0,10,DA,700,0,0,10,DA,900,0,0,10,DA,
702/24,702/VL/24,11.3.2024.,Završena,Narudzbenica br. 574/23 od 20.11.2023.,Komparativna,Prva,DRAGER,OXYLOG 3000 PLUS,ASTB-0003,DA,DA,DA,DA,DA,Volumen,100,96,4,10,DA,200,192,4,10,DA,400,398,"0,5",10,DA,600,589,"1,83",10,DA,800,788,"1,5",10,DA,1000,969,"3,1",10,DA,Pritisak,200,0,0,10,DA,300,0,0,10,DA,400,0,0,10,DA,500,0,0,10,DA,700,0,0,10,DA,900,0,0,10,DA,
701/24,701/VL/24,11.3.2024.,Završena,Narudzbenica br. 574/23 od 20.11.2023.,Komparativna,Redovna,DRAGER,EVITA INFINITY V500,ASNJ-0155,DA,DA,DA,DA,DA,Volumen,100,96,4,10,DA,200,190,5,10,DA,400,381,"4,75",10,DA,600,583,"2,83",10,DA,800,763,"4,63",10,DA,1000,955,"4,5",10,DA,Pritisak,200,0,0,10,DA,300,0,0,10,DA,400,0,0,10,DA,500,0,0,10,DA,700,0,0,10,DA,900,0,0,10,DA,
